leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,transparencydata_id,photo_url,created_at,updated_at
IAL000027,Jack Hatch,Jack,,Hatch,,,True,ia,upper,33,Democratic,1a1c7fa181fb4c638b3e636a228f1c36,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=162,2011-09-13 01:16:50.637000,2012-10-29 04:04:00.304000
IAL000028,Robert M. Hogg,Robert,M.,Hogg,,,True,ia,upper,19,Democratic,33cd82d4bc2a41e0b4d7e4ec3bbc3392,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=6445,2011-09-13 01:16:50.648000,2012-10-29 04:04:00.305000
IAL000029,Wally E. Horn,Wally,E.,Horn,,,True,ia,upper,17,Democratic,715dcdc44ce64c2fb2c88c638998e02c,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=127,2011-09-13 01:16:50.659000,2012-10-29 04:04:00.306000
IAL000030,Hubert Houser,Hubert,,Houser,,,True,ia,upper,49,Republican,9cea850dbb4141a19111f65456fb9e89,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=143,2011-09-13 01:16:50.670000,2012-10-29 04:04:00.307000
IAL000031,Pam Jochum,Pam,,Jochum,,,True,ia,upper,14,Democratic,1e9297fcc66843e6bc65e03859714adf,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=35,2011-09-13 01:16:50.683000,2012-10-29 04:04:00.309000
IAL000032,David Johnson,David,,Johnson,,,True,ia,upper,3,Republican,1f176369e5624c169e54b8b9101dd970,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=155,2011-09-13 01:16:50.696000,2012-10-29 04:04:00.310000
IAL000033,Tim L. Kapucian,Tim,L.,Kapucian,,,True,ia,upper,20,Republican,2f6f5a8e5c2d45a6a88a48820b6f226b,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=7483,2011-09-13 01:16:50.710000,2012-10-29 04:04:00.311000
IAL000034,Steve Kettering,Steve,,Kettering,,,True,ia,upper,26,Republican,b21c7f05995b4ea7a7e4d05a10f0f134,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=315,2011-09-13 01:16:50.722000,2012-10-29 04:04:00.312000
IAL000035,John P. Kibbie,John,P.,Kibbie,,Jack,True,ia,upper,4,Democratic,230a9c5f694644feabb7e78e7039ae1f,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=104,2011-09-13 01:16:50.733000,2012-10-29 04:04:00.313000
IAL000036,Matthew McCoy,Matt,,McCoy,,,True,ia,upper,31,Democratic,47764bc0cd8e44f28469a3127385735e,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=134,2011-09-13 01:16:50.744000,2012-10-29 04:04:00.314000
IAL000037,Paul McKinley,Paul,,McKinley,,,True,ia,upper,36,Republican,ef219a36ebe4445ca5c40fa6787075f9,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=146,2011-09-13 01:16:50.756000,2012-10-29 04:04:00.316000
IAL000038,Herman C. Quirmbach,Herman,C.,Quirmbach,,,True,ia,upper,23,Democratic,4e5bb15fbe9e41d0bb6dec27de75dd50,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=161,2011-09-13 01:16:50.771000,2012-10-29 04:04:00.317000
IAL000039,Amanda Ragan,Amanda,,Ragan,,,True,ia,upper,7,Democratic,b69f332dffaa4b87823d0f4386ba90d5,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=110,2011-09-13 01:16:50.788000,2012-10-29 04:04:00.318000
IAL000040,Tom Rielly,Tom,,Rielly,,,True,ia,upper,38,Democratic,f11a827891c94e1fbaf2da1e7b72ddc3,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=794,2011-09-13 01:16:50.799000,2012-10-29 04:04:00.319000
IAL000041,Brian Schoenjahn,Brian,,Schoenjahn,,,True,ia,upper,12,Democratic,b4ddecdeacdf40e88966804312f721eb,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=791,2011-09-13 01:16:50.831000,2012-10-29 04:04:00.320000
IAL000042,Joe M. Seng,Joe,M.,Seng,,,True,ia,upper,43,Democratic,6f18307c5c2b496cbc75ed8b6939b5ee,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=164,2011-09-13 01:16:50.842000,2012-10-29 04:04:00.322000
IAL000043,James A. Seymour,James,A.,Seymour,,,True,ia,upper,28,Republican,cd07e5cae5d24ed99e2692f4dfd2969e,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=278,2011-09-13 01:16:50.854000,2012-10-29 04:04:00.323000
IAL000044,Roby Smith,Roby,,Smith,,,True,ia,upper,41,Republican,32c3a9023e8c4834b8e89d98df8c3e35,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=10781,2011-09-13 01:16:50.868000,2012-10-29 04:04:00.324000
IAL000045,Steven J. Sodders,Steven,J.,Sodders,,,True,ia,upper,22,Democratic,5ba352591dfc4fc8ae7ac396a062f693,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=7484,2011-09-13 01:16:50.880000,2012-10-29 04:04:00.325000
IAL000046,Kent Sorenson,Kent,,Sorenson,,,True,ia,upper,37,Republican,361eb752b5eb4342a37160884c98b018,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=7500,2011-09-13 01:16:50.893000,2012-10-29 04:04:00.326000
IAL000047,Pat Ward,Pat,,Ward,,,True,ia,upper,30,Republican,3c1391688adb47c19106e4b49308424d,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=684,2011-09-13 01:16:50.905000,2012-10-29 04:04:00.327000
IAL000048,Jack Whitver,Jack,,Whitver,,,True,ia,upper,35,Republican,5ea097292be143da90dcde844a1788ab,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=11245,2011-09-13 01:16:50.916000,2012-10-29 04:04:00.329000
IAL000049,Mary Jo Wilhelm,Mary Jo,,Wilhelm,,,True,ia,upper,8,Democratic,a22f24524fc34eb5a174169b9b90965d,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=7488,2011-09-13 01:16:50.932000,2012-10-29 04:04:00.330000
IAL000050,Brad Zaun,Brad,,Zaun,,,True,ia,upper,32,Republican,dd2611e372134095b3092f659377c022,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=793,2011-09-13 01:16:50.944000,2012-10-29 04:04:00.331000
IAL000151,Liz Mathis,Liz,,Mathis,,,True,ia,upper,18,Democratic,6da51b1c7de04516852ab91497638912,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=11911,2011-11-15 01:11:14.790000,2012-10-29 04:04:00.332000
